epoch,train_loss,train_mAP,train_AUC,test_loss,test_mAP,test_AUC
1,0.08055749909071748,0.033356032517375164,0.6028137111105523,0.09028975381666574,0.08280197234174008,0.7284038259271592
2,0.04792798461254026,0.08816803388507885,0.800702719357667,0.07593430557444163,0.1110353285217594,0.7999882077117517
3,0.04585139319189346,0.10354351181946791,0.8578907665658282,0.07553606903210155,0.12449113906783475,0.8241859249630841
4,0.04494206572731468,0.11229030469654155,0.8701849583001734,0.0747689987126712,0.13055625559867243,0.8262703495466686
5,0.04484538553578252,0.11550788626574854,0.8740463283808242,0.07505432248418485,0.1392394645401032,0.8324317848899218
6,0.044332789131767816,0.12370307742418167,0.8784620561970786,0.07512335134403422,0.14379383552934208,0.8357848528327739
7,0.04400949592867185,0.1274153032556617,0.8802917986407831,0.07474436661221802,0.1494755096816975,0.8369493282288483
8,0.04398658185119142,0.13172431837231913,0.8809907626007297,0.07470776726846855,0.15105719835301235,0.8388309359681374
9,0.043868257604444454,0.1328481832758542,0.8805349788156345,0.07434083338251224,0.15535989183701399,0.839551677373708
10,0.04342150236327847,0.13897378418764297,0.8842668810536398,0.07614610794731021,0.15746469675399422,0.842277804969844
11,0.04381255275552896,0.14061698924084948,0.8849427405670883,0.07460073163555743,0.15883337392995237,0.8422061087685677
12,0.04328580662427729,0.14397177510412695,0.884267784953976,0.07772990896774985,0.16199566808779106,0.8430144145559032
13,0.04306682315874436,0.14880917469338134,0.887938699177376,0.07518244461761683,0.16239760209040746,0.8435811946499219
14,0.043080996530653295,0.1482555943527461,0.8906515288887173,0.07585886523692667,0.16921590418463353,0.8471012967477393
15,0.042573745056505935,0.15271809411828413,0.8907449668106407,0.07285637177389315,0.16874786486903626,0.8479712350806059
16,0.042342164630315586,0.15501414735407615,0.8919205297355639,0.07646275771625778,0.1685301393276166,0.846849116073837
