epoch,train_loss,test_acc@1,test_acc@5
5,17.791915262662446,45.36,91.83
10,13.198165189302884,52.65,94.65
15,11.051330825610039,56.76,95.63000000000001
20,10.69175354884221,59.440000000000005,96.32
